symbol	file	line	consumer_type	text
authority_budget	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	65	unknown_or_support	- action: allow_only_certified_authority_budget
candidate_moves_total	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	90	unknown_or_support	| candidate_moves_total | 0 |
selected_moves	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	91	unknown_or_support	| selected_moves | 0 |
move_type	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	95	unknown_or_support	All 18 production users received action=keep and move_type=none.
decisions	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	97	unknown_or_support	Representative decisions:
selected_move_count	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	122	unknown_or_support	- selected_move_count: 0
selected_moves	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	185	unknown_or_support	- Real production planner discovery returned selected_moves=0 and candidate_moves_total=0.
decisions	PROGRAM_REAL_SMALL_BATCH_2_USER_COHORT_EXECUTION_AND_SMALL_BATCH_AUTHORITY_CERTIFICATION_REPORT.md	186	unknown_or_support	- Planner decisions for all 18 users were action=keep with reason=no_eligible_failover_target.
decisions	TRACK7_2_PRODUCTION_ONLY_TOOL_GOVERNANCE_REPORT.md	106	unknown_or_support	- require live manifest import or read-only VPS enumeration before per-tool decisions.
authority_budget	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	23	unknown_or_support	| Authority budget policy excerpt | authority_promotion_review_evidence/authority_budget_policy_excerpt.txt |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	46	unknown_or_support	| SMALL_BATCH execution | NOT SATISFIED | Prior real small batch attempts show users_moved=0 or selected_moves=0 |
