symbol	file	line	consumer_type	text
candidate_moves_total	admin_core/explainability_adapter.py	323	admin_core_read_model_or_pipeline	"candidate_moves_total": moves,
candidate_moves_total	admin_core/explainability_adapter.py	329	admin_core_read_model_or_pipeline	reason="candidate_moves_total",
decisions	admin_core/intelligence_workers.py	5	admin_core_read_model_or_pipeline	restart services, or integrate with planner decisions.
recommended_egress	admin_core/intelligence_workers.py	336	admin_core_read_model_or_pipeline	"recommended_egress",
terminal_reason	admin_core/intelligence_workers.py	362	admin_core_read_model_or_pipeline	execution.get("terminal_reason"),
terminal_reason	admin_core/intelligence_workers.py	439	admin_core_read_model_or_pipeline	row.get("terminal_reason"),
selected_moves	admin_core/intelligence_workers.py	472	admin_core_read_model_or_pipeline	for key in ("selected_move", "selected_moves"):
selected_moves	admin_core/intelligence_workers.py	479	admin_core_read_model_or_pipeline	for key in ("selected_move", "selected_moves"):
terminal_reason	admin_core/intelligence_workers.py	712	admin_core_read_model_or_pipeline	record.get("terminal_reason"),
selected_move_count	admin_core/intelligence_workers.py	745	admin_core_read_model_or_pipeline	for key in ("blast_radius", "affected_users", "movement_count", "users_moved", "selected_move_count", "target_users"):
selected_moves	admin_core/intelligence_workers.py	750	admin_core_read_model_or_pipeline	for key in ("users", "moved_users", "selected_moves", "moves"):
operation_id	admin_core/intelligence_workers.py	769	admin_core_read_model_or_pipeline	operation_id = _text_value(
operation_id	admin_core/intelligence_workers.py	771	admin_core_read_model_or_pipeline	or record.get("operation_id")
operation_id	admin_core/intelligence_workers.py	772	admin_core_read_model_or_pipeline	or (record.get("execution_outcome") if isinstance(record.get("execution_outcome"), dict) else {}).get("operation_id")
operation_id	admin_core/intelligence_workers.py	784	admin_core_read_model_or_pipeline	if operation_id:
operation_id	admin_core/intelligence_workers.py	785	admin_core_read_model_or_pipeline	bucket = grouped.setdefault(operation_id, {
operation_id	admin_core/intelligence_workers.py	787	admin_core_read_model_or_pipeline	"operation_id": operation_id,
affected_users	admin_core/intelligence_workers.py	1482	admin_core_read_model_or_pipeline	affected_users=affected_candidates,
affected_users	admin_core/intelligence_workers.py	1550	admin_core_read_model_or_pipeline	affected_users=len(channels),
decisions	admin_core/intelligence_workers.py	1769	admin_core_read_model_or_pipeline	bounded_decisions = decision_records[-MAX_HISTORY_RECORDS:]
decisions	admin_core/intelligence_workers.py	1773	admin_core_read_model_or_pipeline	service_actuals = build_service_actual_rows(service_rows, bounded_decisions)
decisions	admin_core/intelligence_workers.py	1777	admin_core_read_model_or_pipeline	bounded_decisions,
decisions	admin_core/intelligence_workers.py	1785	admin_core_read_model_or_pipeline	decision_records=bounded_decisions,
decisions	admin_core/intelligence_workers.py	1792	admin_core_read_model_or_pipeline	rollback_records=build_rollback_evidence_rows(bounded_decisions, rollback_records or []),
decisions	admin_core/intelligence_workers.py	1797	admin_core_read_model_or_pipeline	bounded_decisions,
decisions	admin_core/intelligence_workers.py	1805	admin_core_read_model_or_pipeline	decision_records=bounded_decisions,
decisions	admin_core/intelligence_workers.py	1830	admin_core_read_model_or_pipeline	"bounded_decision_count": len(bounded_decisions),
decisions	admin_core/intelligence_workers.py	1843	admin_core_read_model_or_pipeline	history_completeness=min(1.0, len(bounded_decisions) / 50.0) if bounded_decisions else 0.0,
decisions	admin_core/intelligence_workers.py	1849	admin_core_read_model_or_pipeline	if not bounded_decisions:
decisions	admin_core/intelligence_workers.py	1861	admin_core_read_model_or_pipeline	decisions=bounded_decisions,
decisions	admin_core/intelligence_workers.py	1862	admin_core_read_model_or_pipeline	rollback_records=build_rollback_evidence_rows(bounded_decisions, rollback_records or []),
operation_id	admin_core/operator_observability.py	228	admin_core_read_model_or_pipeline	def evidence_dir_candidates(repo_root, operation_id):
operation_id	admin_core/operator_observability.py	229	admin_core_read_model_or_pipeline	lower = operation_id.lower()
operation_id	admin_core/operator_observability.py	243	admin_core_read_model_or_pipeline	def first_existing_evidence_dir(repo_root, operation_id):
operation_id	admin_core/operator_observability.py	244	admin_core_read_model_or_pipeline	for path in evidence_dir_candidates(repo_root, operation_id):
selected_moves	admin_core/operator_observability.py	343	admin_core_read_model_or_pipeline	"selected_move_budget": answers.get("selected_moves_after_clearance") or answers.get("selected_moves_during_rehearsal") or "unknown",
