user_ip,enabled,current_egress,route_class,required_services,best_recommended_target,action,move_type,candidate_move,candidate_reason,non_candidate_exact_reason,eligible_targets,best_available_pool,current_eligible,current_blocked,recommended_score,current_score
10.0.0.2,True,awg3,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,switch,failover,True,current_egress_not_eligible,,vless,vless,False,stability_below_floor,2027.12,0.0
10.0.0.3,True,awg0,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,switch,failover,True,current_egress_not_eligible,,vless,vless,False,stability_below_floor,2027.12,0.0
10.0.0.6,True,awg0,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,switch,failover,True,current_egress_not_eligible,,vless,vless,False,stability_below_floor,2027.12,0.0
10.7.0.3,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.2,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.4,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.5,True,vless,VIDEO_OPTIMIZED,"telegram,youtube,google",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2084.02,2084.02
10.7.0.6,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.8,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.9,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.10,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.11,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.12,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.13,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.14,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.15,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.16,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.17,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.18,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.19,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.20,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.21,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.22,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.23,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.24,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
10.7.0.25,True,vless,VIDEO_OPTIMIZED,"youtube,instagram,telegram,google,google_auth",vless,keep,none,False,current_is_best,current_is_best; only eligible best_available_pool is current route,vless,vless,True,,2077.12,2077.12
