sample	timestamp	mbps	ping_loss_pct	rtt_avg_ms	readiness	checkers_ok	selected_moves	hidden_movers	candidate_current	target_users
1	2026-05-28T17:38:51Z	12.60	0	26.710	NO-GO	true	0	0	1	0
2	2026-05-28T17:40:00Z	14.34	0	27.181	NO-GO	true	0	0	1	0
3	2026-05-28T17:41:11Z	17.09	0	131.057	NO-GO	true	0	0	1	0
4	2026-05-28T17:42:21Z	43.04	0	42.776	NO-GO	true	0	0	1	0
5	2026-05-28T17:43:29Z	18.75	0	45.806	NO-GO	true	0	0	1	0
6	2026-05-28T17:44:38Z	41.16	0	22.707	NO-GO	true	0	0	1	0
7	2026-05-28T17:45:46Z	40.59	0	35.622	NO-GO	true	0	0	1	0
8	2026-05-28T17:46:55Z	30.03	0	29.025	NO-GO	true	0	0	1	0
9	2026-05-28T17:48:03Z	45.48	0	37.273	NO-GO	true	0	0	1	0
10	2026-05-28T17:49:12Z	21.16	0	34.491	NO-GO	true	0	0	1	0
11	2026-05-28T17:50:21Z	31.72	0	22.750	NO-GO	true	0	0	1	0
12	2026-05-28T17:51:29Z	19.05	0	38.767	NO-GO	true	0	0	1	0
13	2026-05-28T17:52:39Z	29.33	0	35.046	NO-GO	true	0	0	1	0
14	2026-05-28T17:53:47Z	26.65	0	50.605	NO-GO	true	0	0	1	0
15	2026-05-28T17:54:56Z	32.37	0	24.199	NO-GO	true	0	0	1	0
16	2026-05-28T17:56:05Z	31.36	0	26.298	NO-GO	true	0	0	1	0
17	2026-05-28T17:57:13Z	10.67	0	39.198	NO-GO	true	0	0	1	0
18	2026-05-28T17:58:22Z	47.72	0	27.054	NO-GO	true	0	0	1	0
19	2026-05-28T17:59:31Z	14.74	0	62.875	NO-GO	true	0	0	1	0
20	2026-05-28T18:00:40Z	14.64	0	38.493	NO-GO	true	0	0	1	0
